LoggroID,Ingrediente,Categoria,Unidad,StockLoggro,EnAtolon
"6875674ab9d23ef462719dd3","Limon deshidratado","Producción BAR","Und",0,"Limon deshidratado"
"66e1ce977304fb336116dfcf","limpiador aro","Otros","Und",0,"limpiador aro"
"69f229254e7c03f1dbfec425","limpión micro fibra azul","Otros","Und",0,"limpión micro fibra azul"
"69f22ba3833c39f610c63c3a","LIQUIDO ANTI ACAROS","Otros","Und",0,"LIQUIDO ANTI ACAROS"
"69f22bcb4e7c03f1db123c75","LIQUIDO LIMPIA CRISTALES Y ESPEJOS","Otros","Und",0,"LIQUIDO LIMPIA CRISTALES Y ESPEJOS"
"66411508c33d858647eaf881","Lonchita amarillo","PRODUCCION COCINA","Und",0,"Lonchita amarillo"
"69ea7575117b22e1d8f37a27","Lychee el Fortin - 567g ","Otros","?",0,"Lychee el Fortin - 567g "
"68752c55ad60df2a381f737a","MAIZ PIRA","PRODUCCION COCINA","Gr",0,"MAIZ PIRA"
"66411508c33d858647eaf8ab","Maizena","PRODUCCION COCINA","Gr",0,"Maizena"
"66908809e61bf1aaa4c0a70f","mango tommy","Insumos cocina","Gr",0,"mango tommy"
"69f25a0d4e7c03f1dbd1b8ec","MANI SALADO FRITOLAY 50 GR","Otros","?",0,"MANI SALADO FRITOLAY 50 GR"
"690a74e21bc1ce6173ec7062","manzanilla miel y jengibre","Producción BAR","Und",0,"manzanilla miel y jengibre"
"6874f5077da9b166c8276c2a","Martini Bitters 1000ml","LICORES","Und",0,"Martini Bitters 1000ml"
"69efa34ac41cba3f1edda24f","Martini Dry","LICORES","?",0,"Martini Dry"
"66fad95153790eb8e233998e","masa de chocosuela","Insumos cocina","Gr",0,"masa de chocosuela"
"6663a156ff7e565b6d3e2e8c","MASA DE MAIZ BLANCO","Insumos cocina","Gr",0,"MASA DE MAIZ BLANCO"
"69ef8f5f145aff5e9b609b4b","MASA DE YUCA","Insumos cocina","Kg",0,"MASA DE YUCA"
"66a93c8f31ff5c5de2001f00","MAYONESA DE LA CASA","PRODUCCION COCINA","Gr",0,""
"685d9f79b2279b1025b4c096","Mayonesa Fruco","Producción BAR","Und",0,"Mayonesa Fruco"
"69f2790e7f65cb794db9c111","MEMOS DE COLORES","Otros","?",0,"MEMOS DE COLORES"
"685d7d8007b600313ee19ef8","MERMELADA FRUTOS ROJOS","PRODUCCION COCINA","Gr",0,""
"665747a50a3b0e69cfa8acab","mezcla de pancakes","PRODUCCION COCINA","Gr",0,""
"685d9d99d61654d772f40d3c","Miel","Producción BAR","Und",0,"Miel"
"6a02037d4a29d49305fbcb60","mini  croisant","Insumos cocina","?",0,"mini  croisant"
"6a0203ddb56cb5447c939ea7","MINI CROISANT","Insumos cocina","?",0,"MINI CROISANT"
"69f2594a4160f7fd33b204a4","MIX DE ARANDANOS","Otros","?",0,"MIX DE ARANDANOS"
"6690706c08bd2b59cf114165","mix de brotes","Insumos cocina","Gr",0,"mix de brotes"
"69f25c63f7de4f502f912d5f","MIX MADURADOS VILASECA SAL PEP CHO SER125 GR","Otros","?",0,"MIX MADURADOS VILASECA SAL PEP CHO SER125 GR"
"665766ca6dbb46800b4ebb93","MONDONGO","Insumos cocina","Gr",0,"MONDONGO"
"69f11127f8f90735629876e5","MONDONGO","COMEDOR STAFF","?",0,""
"6a5166d98703b9489403414b","Mora Congeada","Insumos cocina","Gr",0,"Mora Congeada"
"66a941be8571cbac6e0ef391","MURILLO","Insumos cocina","Gr",0,"MURILLO"
"66ede5bfd7d7e725a20e2161","muslo de pollo","Insumos cocina","Kg",0,"muslo de pollo"
"68753a8ade6db1b37c004ab8","Naranja deshidratada","Producción BAR","Und",0,"Naranja deshidratada"
"66411509c33d858647eaf94d","Ñame","PRODUCCION COCINA","Gr",0,"Ñame"
"685d5ec3e5938a0096688f1c","ÑOQUIS DE PAPA","PRODUCCION COCINA","Und",0,""
"66a69eafc3f482f7142dc1ea","ojo de bife","PRODUCCION COCINA","Und",0,""
"687532f04c711bfff5441f47","PALITOS BURGUER","PRODUCCION COCINA","Und",0,"PALITOS BURGUER"
"66e6fec2a6e231ae708bf68d","PAN ARTESANO BIMBO","Insumos cocina","Und",0,"PAN ARTESANO BIMBO"
"685d559a99bd3f7129e56fd6","PAN PITA","PRODUCCION COCINA","Und",0,""
"688a2292346feb61154011e0","PAPA COCIDA","COMEDOR STAFF","Kg",0,""
"6a340d621edc135ccdf91aa1","PAPA CRIOLLA","Insumos cocina","Gr",0,"PAPA CRIOLLA"
"69f25842695d4e86373e3240","PAPAS PRINGLES ORIGINAL 67 GR","Otros","?",0,"PAPAS PRINGLES ORIGINAL 67 GR"
"69f229a8e794136c22f898da","papel higienico  premium","Otros","Und",0,"papel higienico  premium"
"69f277b39bad3a7879396c6d","PAPELERA 3 PISOS ","Otros","?",0,"PAPELERA 3 PISOS "
"69f23677833c39f6102e7b60","PAQUETE DE TOALLITAS HUMEDAS","Otros","Und",0,"PAQUETE DE TOALLITAS HUMEDAS"
"69efa34ce23e1120ac1af6a0","París de Nuit 750ml","VINOS / ESPUMOSOS","?",0,"París de Nuit 750ml"
"69f236cff7de4f502f27f55d","PASTA DE DIENTES COLGATE","Otros","Und",0,"PASTA DE DIENTES COLGATE"
"68fe4739878278e8a40117e3","PATACONES","PRODUCCION COCINA","Und",0,""
"6a5011ecdbbf163111b22097","Patilla","Producción BAR","Gr",0,"Patilla"
"66411508c33d858647eaf905","Pegucha","PRODUCCION COCINA","Gr",0,"Pegucha"
"688252556a3166b417b65235","PERROS CALIENTES","PRODUCCION COCINA","Und",0,""
"66562a155f5f175c9e06df51","pico de gallo","PRODUCCION COCINA","Gr",0,""
"68601c019c9d5c7e3f87b9bd","PIMENTON AMARILLO","Insumos cocina","Gr",0,"PIMENTON AMARILLO"
"669b0835c503f96c25c1c4e5","pimienta de olor","Insumos cocina","Gr",0,"pimienta de olor"
"6556b3243b6a2105d941db83","Piña","Producción BAR","Und",0,"Piña"
"677de7714babd27fcc65ab0b","Piña deshidratada","Producción BAR","Und",0,"Piña deshidratada"
"69f25aa4f7de4f502f82452f","PLATANOS MADUROS MONTEROJO SAL MARINA 110GR","Otros","?",0,"PLATANOS MADUROS MONTEROJO SAL MARINA 110GR"
"69f25bc82a0f0ad5376fafc3","PLATANOS MONTEROJO SURTIDOS 180 GR EN 6 UN","Otros","?",0,"PLATANOS MONTEROJO SURTIDOS 180 GR EN 6 UN"
"665624cf8d763bfce1a25add","platos de carton","Otros","Und",0,"platos de carton"
"69f229e3d18de786dcb4086b","plumero micro fibras","Otros","Und",0,"plumero micro fibras"
"66f5d3350b32e1cb796ca68b","POLLO COMEDOR","COMEDOR STAFF","Kg",0,""
"68822a666a3166b417620b9a","POLLO FRITO","COMEDOR STAFF","Kg",0,""
"665748568eb13569d7d6757d","polvo de hornear","Insumos cocina","Gr",0,"polvo de hornear"
"68756714df1cf740b173f3a9","Ponche de frutas","Producción BAR","Ml",0,"Ponche de frutas"
"685d941c77a74cafde17eb76","Pulpa de fresa","Producción BAR","Und",0,"Pulpa de fresa"
"685d93020d750d02fd51e7fe","Pulpa de lulo","Producción BAR","Und",0,"Pulpa de lulo"
"685d944bb1dabf512c00e330","Pulpa de mora","Producción BAR","Und",0,"Pulpa de mora"
"68fcf8a5f998b43e46b7496a","PULPA MANDARINA","Producción BAR","Und",0,"PULPA MANDARINA"
"685d9371f082f5f233cccb36","Pulpa piña","Producción BAR","Und",0,"Pulpa piña"
"66411507c33d858647eaf811","Punta de anca","PRODUCCION COCINA","Gr",0,"Punta de anca"
