Producto,Categoria,UnidadProducto,PrecioVenta,Fuente
"ESPACIO DE CEREMONIA","Otros","",4600000,"/products"
"Espagueti al Pomodoro | Spaghetti Pomodoro","MENU ATOLON KIDS PASA DIA","",1,"/products"
"ESPARRAGO","Insumos cocina","Gr",0,"/ingredients"
"Espinacas","Insumos cocina","Gr",0,"/ingredients"
"Espinacas a la crema y parmesano","MENU FULL YATE","",15500,"/products"
"Espumoso Baron Rotberg 750ml","VINOS / ESPUMOSOS","Unidad",0,"/ingredients"
"Espumoso Chandon Brut","VINOS / ESPUMOSOS","Unidad",0,"/ingredients"
"Espumoso Chandon Brut 187ml","VINOS / ESPUMOSOS","Unidad",0,"/ingredients"
"Espumoso Chandon Rose 187ml","VINOS / ESPUMOSOS","Und",0,"/ingredients"
"Espumoso Chandon Rose 750ml","VINOS / ESPUMOSOS","Unidad",0,"/ingredients"
"Espumoso Moelia Brut","VINOS / ESPUMOSOS","Unidad",0,"/ingredients"
"Espumoso Moelia Rose","VINOS / ESPUMOSOS","Unidad",0,"/ingredients"
"Espumoso VIP Exclusive","DESCORCHE","",1,"/products"
"ESTACION DE POSTRE","BODA","",20000,"/products"
"EXCLUSIVIDAD","Otros","",6000000,"/products"
"FANTASIA DE COCO","POSTRES","",32000,"/products"
"FEVER TREE  TONICA 200 ML","BEBIDAS","Und",0,"/ingredients"
"fideos","Insumos cocina","Gr",0,"/ingredients"
"FIDEOS DE ARROZ","Insumos cocina","",0,"/ingredients"
"Filete de Tilapia","Insumos cocina","Gr",0,"/ingredients"
"Flor de Cana 4 Anos","RON","Und",0,"/ingredients"
"flores comestibles","Insumos cocina","Und",0,"/ingredients"
"FRANGELICO 700 ML","LICORES","Und",0,"/ingredients"
"Fresa","PRODUCCION COCINA","Gr",0,"/ingredients"
"Fresa Congelada","Insumos cocina","Gr",0,"/ingredients"
"FRIJOL ROJO","Insumos cocina","Gr",0,"/ingredients"
"frijoles negro","Insumos cocina","Gr",0,"/ingredients"
"FROTEX CREMA MULTIUSOS 550g","Otros","Und",0,"/ingredients"
"Fruta corozo","Insumos cocina","Gr",0,"/ingredients"
"FRUTOS ROJOS CONGELADOS","Insumos cocina","Kg",0,"/ingredients"
"Fusion de jalapeño","Producción BAR","Ml",0,"/ingredients"
"GALLETA CLUB SOCIAL INTEGRAL 216 GR","Otros","",0,"/ingredients"
"GALLETAS CLUB SOCIAL INTEGRAL 216 GR","Otros","",0,"/ingredients"
"GALLETAS DUCALES (TACO)","Insumos cocina","Und",0,"/ingredients"
"GALLETAS OREO ORIGINAL 54 GR","Otros","",0,"/ingredients"
"GALLETAS RITZ SALADAS QUESO 180 GR EN 6 UND","Otros","",0,"/ingredients"
"GALLETAS TOSH MIEL","Minibar","",3500,"/products"
"GARBANZOS","Insumos cocina","Gr",0,"/ingredients"
"gasolina","Otros","",0,"/ingredients"
"gasolina","Otros","",0,"/ingredients"
"Gatorade Tropical 500ml","BEBIDAS","Und",0,"/ingredients"
"GELATINA SIN SABOR","POSTRES","Gr",0,"/ingredients"
"gelcomb","Otros","Unidad",0,"/ingredients"
"GENJIBRE","Insumos cocina","Gr",0,"/ingredients"
"GINEBRA","DESCORCHE","",222800,"/products"
"Ginebra Beaffetar Pink 700ml","VODKA / GIN","Unidad",0,"/ingredients"
"Ginebra Beaffeter 700ml","VODKA / GIN","Unidad",0,"/ingredients"
"Ginebra Bombay Sapphire 700ml","VODKA / GIN","Unidad",0,"/ingredients"
"Ginebra Gordons 700ml","VODKA / GIN","Unidad",0,"/ingredients"
"Ginebra Hendricks 750ml","VODKA / GIN","Unidad",0,"/ingredients"
"Ginebra Monkey 47 - 500ml","VODKA / GIN","Unidad",0,"/ingredients"
"Ginebra Tanqueray Dry 700ml","VODKA / GIN","Unidad",0,"/ingredients"
"Ginebra Tanqueray Ten","VODKA / GIN","Unidad",0,"/ingredients"
"Ginger Beer","BEBIDAS","Und",0,"/ingredients"
"Ginger Canada Dry 300ml","BEBIDAS","Und",0,"/ingredients"
"Gnocchis de papa a la gorgonzola","MENU FULL YATE","",20000,"/products"
"GRAPADORAS ","Otros","",0,"/ingredients"
"GRAPAS","Otros","",0,"/ingredients"
"Grey Goose 700ml OZ","Shots","Unidad",0,"/ingredients"
"GUACAMOLE","Insumos cocina","Gr",0,"/ingredients"
"GUATILA","Insumos cocina","Gr",0,"/ingredients"
"habichuelas","Insumos cocina","Gr",0,"/ingredients"
"HABITACIONES","Otros","",900000,"/products"
"Hamburguesa Angus","Insumos cocina","Und",0,"/ingredients"
"Hamburguesa Clásica | Classic Hamburger KIDS","MENU ATOLON KIDS PASA DIA","",58000,"/products"
"HAMBURGUESA CON QUESO Y PAPAS + SODA","Otros","",38500,"/products"
"Hamburguesa de Pollo | Chicken Hamburger KIDS","MENU ATOLON KIDS PASA DIA","",1,"/products"
"harina de choclo","Insumos cocina","Gr",0,"/ingredients"
"Harina de maiz","Insumos cocina","Gr",0,"/ingredients"
"harina de trigo","Insumos cocina","Gr",0,"/ingredients"
"HARINA PAN","Insumos cocina","Und",0,"/ingredients"
"Havana 3 años  750 ML","RON","Und",0,"/ingredients"
"Herbabuena gr","Producción BAR","Gr",0,"/ingredients"
"Hielo","Producción BAR","Gr",0,"/ingredients"
"Hierba buena","Producción BAR","Gr",0,"/ingredients"
"HIGADO","Insumos cocina","Kg",0,"/ingredients"
"Hojas de hierbabuena","Producción BAR","Und",0,"/ingredients"
"HOOKAH E.","Otros","",0,"/products"
"HOOKAH N.","Otros","",0,"/products"
"HOTCAKES","DESAYUNOS INCLUIDOS","",0,"/products"
"Hueso","PRODUCCION COCINA","Gr",0,"/ingredients"
"HUESO DE RES","Insumos cocina","Kg",0,"/ingredients"
"Huevos","Insumos cocina","Und",0,"/ingredients"
"HUEVOS AL GUSTO","MENU - DESAYUNOS","",15900,"/products"
"impuesto de muelle","Consumo pasadía","",3000,"/products"
"impuesto de muelle","Otros","",16000,"/products"
"Infusion de chile jalapeño","Producción BAR","Ml",0,"/ingredients"
"Insta crean x100","Producción BAR","Und",0,"/ingredients"
"IVA ESPACIO CEREMONIA","Otros","",874000,"/products"
"IVA HABITACIONES","Otros","",1539000,"/products"
"JABON DE MANO","Otros","Und",0,"/ingredients"
"Jack Daniels #7 - 700ml","WHISKY / BOURBON","Unidad",0,"/ingredients"
"JACK DANIELS N° 7 SHOTS","WHISKY / BOURBON","",42000,"/products"
"Jagermeister 700ml","BOTELLAS","Und",0,"/ingredients"
"Jameson 700ml","WHISKY / BOURBON","Unidad",0,"/ingredients"
"jamon colanta","Insumos cocina","Gr",0,"/ingredients"
"JAMON DE PAVO","Insumos cocina","Gr",0,"/ingredients"
"jamon serrano","Insumos cocina","Gr",0,"/ingredients"
"Jarabe de canela","Producción BAR","Ml",0,"/ingredients"
"Jarabe de lychee","Producción BAR","Oz",0,"/ingredients"
"Jarabe de pepino","Producción BAR","Oz",0,"/ingredients"
"Jarabe de romero","Producción BAR","Oz",0,"/ingredients"
"Jarabe natural","Producción BAR","Ml",0,"/ingredients"
"JARRA DE SANDIAA","Jugos","",40000,"/products"
